"CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","NAME_INCOME_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","DAYS_EMPLOYED","FLAG_WORK_PHONE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS","TARGET","EMPLOYMENT_STATUS_FLAG","EDUCATION_LEVEL","AGE"
"M",1,1,2,81000,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",4,"0","Not_Working",2,50.4202600958248
"F",0,1,0,225000,"Commercial associate","Separated","Rented apartment",664,0,0,0,"Sales staff",1,"0","Working",2,38.2313483915127
"F",0,1,0,54000,"Working","Married","House / apartment",855,0,0,0,"Laborers",2,"0","Working",2,41.9657768651608
"F",0,0,1,157500,"Working","Married","House / apartment",1416,1,1,0,"Managers",3,"1","Working",2,40.6570841889117
"F",0,1,0,81000,"Pensioner","Widow","House / apartment",0,0,0,0,"Retired",1,"0","Not_Working",4,63.4934976043806
"F",0,1,0,126000,"Working","Civil marriage","House / apartment",5409,1,1,0,"Medicine staff",2,"0","Working",2,43.006160164271
"F",1,1,1,148500,"Working","Married","House / apartment",4590,0,1,0,"Medicine staff",3,"0","Working",2,38.4229979466119
"F",0,1,0,157500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,54.0862422997947
"M",1,1,0,180000,"Working","Married","House / apartment",1504,0,0,0,"Laborers",2,"0","Working",2,58.861054072553
"F",0,1,0,148500,"Pensioner","Married","House / apartment",0,0,1,0,"Retired",2,"0","Not_Working",2,66.1574264202601
"F",0,1,0,157500,"Pensioner","Civil marriage","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,57.9082819986311
"F",0,1,0,202500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,57.1882272416153
"F",0,1,0,139500,"Pensioner","Widow","House / apartment",0,0,0,0,"Retired",1,"0","Not_Working",2,62.0698151950719
"F",1,1,0,292500,"Working","Civil marriage","House / apartment",1629,1,1,0,"Sales staff",2,"0","Working",2,39.7207392197125
"F",0,1,0,171000,"Working","Single / not married","House / apartment",4437,0,0,0,"Security staff",1,"0","Working",4,40.4928131416838
"F",0,0,0,67500,"State servant","Separated","House / apartment",6951,0,1,1,"Unknown",1,"0","Working",2,49.5085557837098
"F",0,1,1,90000,"Working","Civil marriage","House / apartment",512,1,0,0,"Cooking staff",3,"0","Working",2,25.3771389459274
"F",0,1,0,135000,"Working","Married","House / apartment",3056,1,0,0,"Unknown",2,"0","Working",2,46.5735797399042
"F",0,1,0,76500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",2,63.1786447638604
"F",1,1,1,157500,"Working","Civil marriage","House / apartment",1112,0,0,0,"Core staff",3,"0","Working",4,28.6324435318275
"F",0,0,0,90000,"Working","Civil marriage","House / apartment",169,0,0,0,"Core staff",2,"0","Working",4,23.6139630390144
"F",0,0,0,157500,"State servant","Married","House / apartment",1736,1,1,0,"Medicine staff",2,"0","Working",2,47.1950718685832
"M",1,0,1,225000,"Working","Civil marriage","House / apartment",2862,0,0,0,"Managers",3,"0","Working",2,44.2792607802875
"F",1,1,0,270000,"Working","Married","House / apartment",5230,0,0,0,"Core staff",2,"0","Working",3,34.2861054072553
"F",0,1,0,225000,"Pensioner","Married","House / apartment",0,0,0,1,"Retired",2,"0","Not_Working",2,57.7056810403833
"F",1,1,0,112500,"Pensioner","Married","House / apartment",0,0,0,0,"Retired",2,"0","Not_Working",4,56.9664613278576
"F",0,1,0,49500,"Working","Married","House / apartment",6038,0,0,0,"Medicine staff",2,"0","Working",2,47.0171115674196
"M",1,1,0,202500,"Commercial associate","Civil marriage","House / apartment",510,0,0,0,"Drivers",2,"0","Working",4,33.1088295687885
"F",1,0,2,157500,"Working","Married","House / apartment",4609,0,1,1,"Unknown",4,"0","Working",4,42.8446269678303
"F",0,1,3,202500,"Commercial associate","Married","House / apartment",224,0,1,0,"Laborers",5,"0","Working",2,40.8843258042437
"M",1,0,0,225000,"Pensioner","Married","House / apartment",0,0,1,0,"Retired",2,"0","Not_Working",2,60.8843258042437
"F",0,1,0,157500,"Working","Civil marriage","House / apartment",7621,0,1,0,"Laborers",2,"0","Working",2,49.8097193702943
