"ID","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","FLAG_WORK_PHONE","FLAG_PHONE","FLAG_EMAIL","CNT_FAM_MEMBERS","AGE","AMT_INCOME_TOTAL_LOG","INCOME_PER_FAMILY_MEMBER_LOG","EMPLOYMENT_RATIO","CREDIT_MATURITY","INCOME_PER_AGE_LOG","target_class","CODE_GENDER_M","NAME_INCOME_TYPE_Commercial.associate","NAME_INCOME_TYPE_State.servant","NAME_INCOME_TYPE_Working","NAME_EDUCATION_TYPE_Higher.education","NAME_EDUCATION_TYPE_Secondary...secondary.special","NAME_FAMILY_STATUS_Civil.marriage","NAME_FAMILY_STATUS_Married","NAME_FAMILY_STATUS_Separated","NAME_FAMILY_STATUS_Single...not.married","NAME_HOUSING_TYPE_House...apartment","OCCUPATION_TYPE_Core.staff","OCCUPATION_TYPE_Drivers","OCCUPATION_TYPE_Laborers","OCCUPATION_TYPE_Managers","OCCUPATION_TYPE_Retired","OCCUPATION_TYPE_Sales.staff","OCCUPATION_TYPE_Unknown"
"6449070",1,1,0.285714285714286,0,0,0,0.375,0.616926377597109,0.225617101665063,0.194957112438726,0,0.636329527791178,0.230230703501653,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"6539777",0,1,0,0,0,0,0,0.365571364046974,0.429151476150035,0.622295827779658,0.0676969243794418,0.362116095835343,0.455183203983083,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"5403595",0,1,0,0,0,0,0.125,0.442581300813008,0.144840545851958,0.246010884365435,0.0794129486522734,0.424987940183309,0.191794184753674,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"6485747",0,1,0,1,1,0,0.125,0.464035682023487,0.313639262993067,0.396380099954212,0.490237792236052,0.2012649407729,0.334324267320757,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"5852647",1,1,0.142857142857143,0,1,0,0.25,0.369523486901536,0.346371893358675,0.353580978359513,0.46563102783499,0.155437637347912,0.382316670730819,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"5361434",0,1,0,0,0,0,0.125,0.692524841915086,0.358094170109738,0.435981618018831,0,0.708098836897679,0.333268628272987,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"6152734",1,1,0,0,0,0,0.125,0.790989159891599,0.384696474166644,0.459679628550482,0.0995956282542089,0.720962641367851,0.341746392639905,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"5143608",0,1,0,0,1,0,0.125,0.941452122854562,0.346371893358675,0.425539121320112,0,0.944417644851798,0.28817266359111,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"6243147",0,1,0,0,0,0,0.125,0.756492773261066,0.408161385806057,0.480582784634574,0,0.76882671383395,0.367149259037426,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"5917854",0,1,0,0,0,0,0,0.857158988256549,0.333916516077794,0.537457593627307,0,0.86439406121027,0.28839042264056,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"6035734",1,1,0,1,1,0,0.125,0.396285004516712,0.481420144950433,0.545843672821346,0.159854268081864,0.33955083882725,0.494025385765314,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"6540028",0,1,0,0,0,0,0,0.412206413730804,0.374477752424887,0.573590791605373,0.427102342786683,0.204159296778689,0.397670407158797,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"6061053",0,0,0,0,1,1,0,0.598125564588979,0.189295031343679,0.40862432298776,0.547252186162,0.245913062121456,0.201813356945271,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
"5065770",0,1,0.142857142857143,1,0,0,0.25,0.100496838301716,0.246607044439218,0.264708933358816,0.0786407737284791,0.118614997052045,0.367421134551741,7,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"6641457",0,1,0,1,0,0,0.125,0.53760162601626,0.327384092147663,0.40862432298776,0.255760931075207,0.397223562201855,0.332470914844289,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
"5627227",0,1,0,0,0,0,0.125,0.880024841915086,0.214230002399209,0.307824181762035,0,0.886101731253685,0.181264135874274,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"5205682",1,1,0.142857142857143,0,0,0,0.25,0.167626467931346,0.358094170109738,0.364023406768569,0.151379424102375,0.150184917189259,0.44347613512473,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"5838861",0,0,0,0,0,0,0.125,0.064137308039747,0.246607044439218,0.336666299533753,0.0278957665433621,0.102481642279037,0.379898284922622,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"5242792",1,1,0,0,0,0,0.125,0.284214092140921,0.46547389080058,0.531638309295729,0.594571389383362,0.0401457897839953,0.50565169532585,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"6658951",0,1,0,0,0,1,0.125,0.767163504968383,0.429151476150035,0.499281315633438,0,0.77895695985421,0.383844227404868,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"5154306",1,1,0,0,0,0,0.125,0.751919602529359,0.29106182506756,0.376267592242842,0,0.764485179825267,0.265988890265056,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
